mouth,902
use,1761
close,1483
house,4474
live,1493
sake,549
intimate,168
wound,310
excuse,307
subject,1108
minute,707
row,214
lives,661
learned,708
protest,124
present,1827
read,1481
wind,1182
invalid,60
record,190
initiate,5
content,389
document,42
reject,47
recount,16
object,850
invite,71
produce,313
lead,538
suspect,168
abuse,89
conduct,442
tear,192
contest,102
mate,126
exploit,32
degenerate,21
job,207
appropriate,92
refuse,290
permit,204
desert,256
perfect,762
converse,76
transport,50
reading,458
entrance,339
insult,127
progress,373
elaborate,80
instrument,221
misuse,8
frequent,183
conflict,132
overthrow,31
supplement,20
ornament,83
import,45
diffuse,12
estimate,71
aged,166
contrast,139
escort,58
bass,35
uses,108
bow,348
articulate,17
winds,237
compact,86
alternate,28
mobile,17
upset,93
moderate,126
expose,44
deliberate,81
fragment,48
august,151
jesus,280
compound,41
rebel,48
interchange,21
increase,275
incline,37
resume,64
separate,256
affect,118
consort,17
convert,43
associate,56
advocate,30
implement,11
perfume,56
graduate,27
precipitate,21
dove,71
incense,59
axes,40
contract,112
compress,6
project,101
attribute,43
decrease,19
extract,40
convict,50
polish,59
defect,38
console,58
insert,20
blessed,161
sow,34
construct,29
duplicate,13
discharge,80
abuses,24
isolate,5
subordinate,39
combine,37
syndicate,3
aggregate,26
confines,20
abstract,65
intrigue,33
increment,5
pervert,11
consummate,21
impact,15
postulate,3
pigment,2
animate,18
discard,10
discount,11
delegate,4
transplant,1
moped,4
deviate,8
analyses,2
buffet,10
addict,1
celtic,12
export,13
approximate,9
transform,9
implant,3
bologna,7
conscript,2
retard,14
conglomerate,4
predicate,3
pasty,5
invert,7
nestle,4
refund,2
correlate,2
